Q4Age,Q3Income,Q5Gender,Q4Marital,Q7Religion,Q8Caste,Q9FamilyNo,Q10Readwrite,Q11Qualificatio,Q12Occupatio,Q13.1Incomesour,Q14Electricity,Q14.2IfNot,Q15.1toilet,Q15.2toilet,Q19Land,Q22.1Loan,Satisfaction_from_service
60,3556,Female,Widowed,Hindu,T Janajati,8,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
50,3115,Male,Married,Hindu,Madheshi,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
39,3666,Male,Married,Hindu,Madheshi,4,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
43,4972,Male,Married,Hindu,T Dalit,4,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
30,4016,Male,Married,Hindu,T Dalit,3,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
45,4156,Male,Married,Hindu,T Janajati,3,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
45,4106,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
37,3802,Female,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
45,3788,Female,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
36,3863,Male,Married,Hindu,Madheshi,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
65,1964,Female,Married,Hindu,Madheshi,4,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Not satisfaction
36,7560,Female,Widowed,Muslim,Muslim,9,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
40,9531,Female,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
25,7579,Female,Married,Hindu,Madheshi,3,Both Read & Write,Plus Two,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
40,5208,Female,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
35,6878,Male,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Business,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
25,8153,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Wage,No,No,Tuki,No, ,No land,No,Satisfaction
38,5687,Male,Married,Hindu,Madheshi,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Fully satisfaction
55,9923,Female,Married,Hindu,T Janajati,7,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
30,9235,Female,Married,Hindu,T Janajati,3,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
45,9279,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Wage,No,Yes, ,No, ,No land,No,Satisfaction
44,9656,Male,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
48,5490,Male,Married,Hindu,T Dalit,6,Both Not Read & Write,Illiterate,Wage,No,No,Tuki,Yes,Kachchi,No land,No,Satisfaction
66,6487,Male,Married,Hindu,T Dalit,2,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
49,7725,Female,Married,Hindu,T Janajati,6,Both Not Read & Write,Literate,Wage,Yes,Yes, ,Yes,Pakki,No land,No,Satisfaction
61,8601,Female,Married,Hindu,T Dalit,13,Both Not Read & Write,Illiterate,Wage,No,No,Tuki,No, ,No land,No,Satisfaction
52,6904,Male,Married,Hindu,T Janajati,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Satisfaction
60,9434,Male,Married,Hindu,T Janajati,5,Both Not Read & Write,Illiterate,Wage,No,No,Solar,No, ,No land,No,Satisfaction
78,5688,Male,Married,Hindu,Madheshi,2,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
47,8634,Male,Married,Hindu,T Dalit,6,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
60,5450,Female,Married,Hindu,Madheshi,3,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
36,8364,Female,Married,Hindu,T Dalit,5,Both Not Read & Write,Illiterate,Government Job,Yes,No,Tuki,Yes,Pakki,No land,No,Satisfaction
65,17585,Female,Married,Hindu,T Dalit,1,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
30,11183,Female,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Wage,No,Yes, ,No, ,No land,No,Fully satisfaction
39,24782,Female,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
32,11232,Male,Married,Hindu,T Dalit,7,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,No land,No,Satisfaction
51,24781,Male,Married,Hindu,Madheshi,5,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Satisfaction
22,22703,Male,Married,Hindu,T Dalit,8,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
35,24201,Male,Married,Hindu,T Dalit,6,Both Read & Write,School Level,Wage,No,Yes, ,No, ,No land,No,Satisfaction
63,11541,Male,Married,Hindu,T Dalit,7,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
49,18564,Male,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
35,10805,Male,Married,Hindu,Madheshi,5,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
35,14232,Male,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
40,23563,Male,Married,Hindu,Madheshi,6,Both Read & Write,School Level,Wage,No,No,Tuki,Yes,Kachchi,No land,No,Little satisfaction
60,24833,Male,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Pakki,No land,No,Not satisfaction
39,18799,Male,Married,Hindu,Madheshi,6,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
45,12026,Female,Seperated,Hindu,Madheshi,1,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
21,11277,Male,Unmarried,Hindu,T Dalit,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Little satisfaction
60,17834,Male,Married,Hindu,T Dalit,2,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
61,10313,Male,Married,Hindu,T Dalit,3,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
63,16948,Male,Married,Hindu,T Dalit,1,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Kachchi,No land,No,Not satisfaction
55,13047,Female,Married,Hindu,T Dalit,6,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
25,23376,Male,Married,Hindu,T Dalit,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
53,11833,Male,Married,Hindu,Madheshi,2,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
53,11414,Male,Married,Hindu,T Dalit,3,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
33,16361,Male,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
36,14327,Female,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
44,10382,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Pakki,No land,No,Satisfaction
37,19542,Female,Married,Hindu,T Dalit,6,Both Read & Write,Literate,Wage,No,Yes, ,No, ,No land,No,Not satisfaction
50,10807,Female,Married,Hindu,T Janajati,3,Both Read & Write,Literate,Wage,No,Yes, ,No, ,No land,No,Satisfaction
40,24032,Female,Married,Hindu,T Janajati,3,Both Not Read & Write,Illiterate,Wage,No,Yes, ,No, ,No land,No,Satisfaction
24,19277,Male,Married,Hindu,T Dalit,6,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,Yes,Satisfaction
27,14507,Male,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Wage,No,Yes, ,Yes, ,No land,Yes,Satisfaction
28,34182,Male,Married,Hindu,T Dalit,3,Only Read,Literate,Business,No,Yes, ,Yes,Kachchi,No land,No,Fully satisfaction
36,9087,Male,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Government Job,Yes,Yes, ,Yes,Pakki,No land,No,Satisfaction
30,17430,Female,Married,Hindu,T Janajati,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,No land,No,Satisfaction
38,32275,Female,Married,Hindu,Khas Aryan,5,Both Read & Write,Bachelor,Government Job,Yes,Yes, ,Yes,Pakki,No land,No,Satisfaction
40,6043,Female,Married,Hindu,T Janajati,6,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
33,5787,Female,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
40,20868,Female,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,>1 ha,No,Little satisfaction
21,9633,Male,Married,Hindu,T Janajati,6,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
25,8482,Male,Unmarried,Hindu,T Janajati,6,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
47,6920,Male,Married,Hindu,Madheshi,5,Both Read & Write,Bachelor,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
30,7054,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
24,7038,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,Plus Two,Private Job,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
80,7281,Male,Married,Hindu,Khas Aryan,6,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
29,7612,Male,Unmarried,Hindu,Madheshi,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
29,5594,Female,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
43,6637,Female,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,>1 ha,No,Not satisfaction
45,9645,Male,Married,Hindu,Madheshi,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
45,5357,Male,Married,Hindu,Madheshi,5,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
51,11818,Male,Married,Hindu,Khas Aryan,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
42,12973,Male,Married,Hindu,T Dalit,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
29,21550,Male,Married,Hindu,T Dalit,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
48,13218,Male,Married,Hindu,Madheshi,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Fully satisfaction
45,18510,Male,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Business,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
45,21136,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
20,18313,Female,Unmarried,Hindu,T Janajati,1,Only Read,Literate,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
47,20512,Female,Married,Hindu,T Janajati,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
55,20313,Male,Married,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
41,29201,Male,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
60,29559,Male,Married,Hindu,Madheshi,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
20,27921,Male,Unmarried,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,>1 ha,No,Satisfaction
39,30024,Male,Married,Hindu,T Dalit,7,Both Read & Write,Master or above,Government Job,Yes,Yes, ,Yes,Pakki,>1 ha,No,Fully satisfaction
49,27461,Male,Married,Buddhist,H Jananati,9,Both Read & Write,Bachelor,Government Job,Yes,Yes, ,Yes,Pakki,>1 ha,No,Little satisfaction
20,1629,Female,Married,Hindu,Madheshi,3,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
50,2321,Female,Widowed,Hindu,Madheshi,3,Both Not Read & Write,Illiterate,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
25,2904,Male,Married,Hindu,Madheshi,7,Both Read & Write,Bachelor,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
47,5606,Female,Married,Hindu,Madheshi,7,Both Read & Write,School Level,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
31,7036,Female,Unmarried,Hindu,H Jananati,6,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
37,9224,Female,Married,Hindu,H Dalit,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
30,5489,Male,Married,Hindu,Khas Aryan,10,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
54,8016,Male,Married,Buddhist,H Jananati,10,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
36,7610,Female,Married,Hindu,H Jananati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
20,9886,Male,Unmarried,Buddhist,H Jananati,4,Both Read & Write,Plus Two,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
49,5777,Male,Married,Hindu,T Janajati,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
28,9261,Male,Married,Buddhist,H Jananati,7,Both Read & Write,Plus Two,Business,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
32,5482,Female,Married,Hindu,Newar,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
38,7539,Male,Married,Hindu,Khas Aryan,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
66,9303,Female,Married,Hindu,T Janajati,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
67,7290,Male,Married,Hindu,Madheshi,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
40,9050,Male,Married,Buddhist,H Jananati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
45,7590,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
22,9007,Male,Married,Hindu,Madheshi,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
22,5192,Female,Married,Hindu,T Janajati,5,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
41,8145,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
50,9548,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
24,6276,Female,Married,Hindu,Madheshi,7,Both Read & Write,Literate,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
43,5207,Male,Married,Buddhist,H Jananati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
72,9544,Male,Married,Hindu,T Janajati,2,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
49,7559,Male,Married,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Not satisfaction
49,5138,Male,Married,Hindu,T Janajati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
37,5802,Male,Married,Hindu,T Janajati,4,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
50,5676,Female,Widowed,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
70,7253,Male,Married,Hindu,Madheshi,11,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
47,5319,Female,Married,Hindu,T Janajati,6,Both Read & Write,Literate,Agriculture,No,Yes, ,No, ,1 ha,No,Little satisfaction
40,7778,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
55,9901,Male,Married,Hindu,T Janajati,12,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
58,7032,Male,Married,Hindu,Madheshi,8,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
41,8451,Male,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
45,5875,Male,Married,Hindu,T Janajati,10,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
34,5752,Female,Married,Hindu,T Janajati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
45,21389,Female,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Business,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
23,21434,Female,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
42,18267,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
42,18979,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
31,22237,Male,Married,Hindu,T Janajati,4,Both Read & Write,Plus Two,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
