SN,Age,gender,Qualificaiton,academic field,year in profession,marital,adm_role,time in social media,Training in Emotional Intelligence?
138,58,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
139,51,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
140,40,Female,Master Degree,Management,21-30,Married,Yes,1-2,No
141,31,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
142,52,Male,Master Degree,Management,31-40,Married,Yes,3-4,No
143,40,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
144,28,Female,Master Degree,Science and Technology,0-5,Unmarried,No,1-2,No
145,25,Male,Bachelor degree ,Management,6-10,Married,No,1-2,No
146,50,Male,Master Degree,Engineering,31-40,Married,Yes,1-2,No
147,45,Male,Master Degree,Humanities,21-30,Married,Yes,1-2,No
148,32,Female,Master Degree,Nursing,0-5,Married,No,1-2,No
149,45,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
150,37,Female,Master Degree,Management,6-10,Married,Yes,1-2,No
151,40,Male,Master Degree,Management,11-20,Married,No,3-4,No
152,60,Female,Ph.D,Science and Technology,31-40,Married,Yes,1-2,Yes
153,49,Male,Master Degree,Humanities,11-20,Unmarried,Yes,3-4,No
154,30,Female,Bachelor degree ,Management,0-5,Unmarried,Yes,1-2,No
155,46,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
156,37,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
157,48,Female,Bachelor degree ,Nursing,21-30,Married,Yes,1-2,No
158,65,Male,M.Phil,Humanities,31-40,Married,Yes,3-4,No
159,30,Male,Master Degree,Science and Technology,6-10,Unmarried,No,3-4,No
160,52,Female,Bachelor degree ,Humanities,0-5,Unmarried,No,5-6,Yes
161,42,Female,Master Degree,Management,11-20,Married,No,1-2,No
162,75,Male,Ph.D,Humanities,31-40,Married,Yes,1-2,No
163,21,Male,Master Degree,Management,6-10,Unmarried,Yes,1-2,No
164,50,Female,Master Degree,Nursing,11-20,Unmarried,Yes,3-4,Yes
165,51,Male,Ph.D,Management,21-30,Married,Yes,1-2,No
166,58,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
167,59,Male,Ph.D,Science and Technology,31-40,Married,Yes,1-2,No
168,56,Male,Bachelor degree ,Management,21-30,Married,Yes,3-4,No
169,24,Female,Bachelor degree ,Nursing,0-5,Unmarried,Yes,3-4,No
170,74,Male,Ph.D,Management,31-40,Married,No,1-2,No
171,64,Male,Ph.D,Management,31-40,Married,Yes,1-2,No
172,46,Female,Ph.D,Science and Technology,21-30,Married,Yes,1-2,Yes
173,25,Male,Master Degree,Engineering,0-5,Unmarried,Yes,1-2,No
174,56,Male,M.Phil,Science and Technology,21-30,Married,Yes,1-2,No
175,66,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
176,45,Female,Ph.D,Management,11-20,Married,No,3-4,No
177,31,Male,M.Phil,Humanities,6-10,Married,Yes,1-2,No
178,26,Male,Master Degree,Humanities,6-10,Unmarried,Yes,1-2,No
179,34,Male,Bachelor degree ,Management,0-5,Unmarried,Yes,7  or above,No
180,46,Male,Ph.D,Nursing,11-20,Married,Yes,1-2,No
181,39,Male,Ph.D,Science and Technology,6-10,Married,Yes,3-4,No
182,33,Male,Master Degree,Science and Technology,6-10,Married,No,3-4,No
183,33,Female,Master Degree,Management,11-20,Married,Yes,3-4,Yes
184,53,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
185,54,Male,Ph.D,Management,21-30,Married,Yes,1-2,No
186,26,Female,Master Degree,Management,0-5,Unmarried,Yes,1-2,No
187,28,Male,Bachelor degree ,Engineering,0-5,Unmarried,No,1-2,No
188,51,Male,Master Degree,Science and Technology,21-30,Married,Yes,1-2,Yes
189,42,Female,Bachelor degree ,Nursing,21-30,Married,No,3-4,Yes
190,45,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
191,60,Female,Ph.D,Management,31-40,Married,No,1-2,Yes
192,44,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
193,33,Male,Master Degree,Humanities,11-20,Married,Yes,1-2,No
194,28,Male,Bachelor degree ,Humanities,0-5,Unmarried,Yes,1-2,Yes
195,40,Male,Master Degree,Humanities,11-20,Married,Yes,3-4,No
196,62,Female,Master Degree,Management,31-40,Unmarried,No,1-2,Yes
197,33,Female,Master Degree,Management,11-20,Married,No,5-6,No
198,22,Female,Bachelor degree ,Management,0-5,Unmarried,Yes,3-4,No
199,54,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
200,57,Male,Bachelor degree ,Engineering,21-30,Married,Yes,7  or above,No
201,50,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
202,57,Male,Master Degree,Humanities,31-40,Married,Yes,1-2,No
203,44,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
204,31,Female,Master Degree,Nursing,11-20,Unmarried,No,3-4,No
205,31,Male,Master Degree,Science and Technology,11-20,Married,Yes,3-4,No
206,51,Male,Master Degree,Management,31-40,Married,Yes,1-2,No
207,71,Female,Ph.D,Management,31-40,Unmarried,Yes,1-2,Yes
208,55,Female,Ph.D,Science and Technology,21-30,Married,Yes,3-4,Yes
209,47,Female,Ph.D,Humanities,11-20,Married,Yes,1-2,No
210,49,Male,Ph.D,Management,11-20,Married,Yes,1-2,No
211,32,Male,Master Degree,Humanities,11-20,Married,Yes,5-6,No
212,47,Female,Ph.D,Humanities,11-20,Married,Yes,5-6,No
213,43,Male,Master Degree,Management,11-20,Married,No,7  or above,No
214,42,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
215,29,Male,Bachelor degree ,Science and Technology,0-5,Unmarried,Yes,1-2,No
216,49,Male,Master Degree,Humanities,21-30,Married,Yes,1-2,No
217,71,Male,Ph.D,Management,31-40,Married,Yes,1-2,No
218,34,Female,Bachelor degree ,Humanities,6-10,Married,No,3-4,Yes
219,26,Male,Master Degree,Management,0-5,Unmarried,Yes,1-2,No
220,45,Male,Master Degree,Management,11-20,Married,No,5-6,No
221,39,Male,Master Degree,Science and Technology,6-10,Unmarried,No,3-4,No
222,55,Male,Ph.D,Humanities,21-30,Married,Yes,1-2,No
223,27,Male,Master Degree,Management,0-5,Unmarried,Yes,1-2,No
224,45,Male,Master Degree,Management,11-20,Married,Yes,3-4,No
225,53,Male,Ph.D,Humanities,21-30,Married,Yes,7  or above,No
226,55,Male,Ph.D,Humanities,21-30,Married,Yes,1-2,No
227,60,Male,Master Degree,Management,21-30,Married,No,3-4,Yes
228,50,Male,Master Degree,Management,11-20,Married,Yes,1-2,Yes
229,56,Female,Ph.D,Humanities,21-30,Married,Yes,1-2,No
230,38,Male,Master Degree,Management,11-20,Married,Yes,3-4,No
231,48,Female,Ph.D,Nursing,11-20,Married,Yes,1-2,No
232,41,Female,Master Degree,Nursing,21-30,Married,No,1-2,No
233,52,Female,Master Degree,Nursing,31-40,Married,No,3-4,No
234,42,Male,Master Degree,Management,11-20,Married,Yes,7  or above,Yes
235,46,Female,Master Degree,Nursing,11-20,Married,Yes,5-6,No
236,28,Female,Bachelor degree ,Science and Technology,6-10,Unmarried,No,5-6,No
237,42,Male,Master Degree,Science and Technology,11-20,Married,Yes,1-2,Yes
238,44,Male,Master Degree,Science and Technology,11-20,Married,No,1-2,Yes
239,47,Male,Ph.D,Nursing,11-20,Married,Yes,1-2,No
240,58,Male,Ph.D,Science and Technology,21-30,Married,No,1-2,No
241,44,Male,Ph.D,Science and Technology,11-20,Married,Yes,3-4,No
242,43,Male,Ph.D,Humanities,21-30,Married,Yes,5-6,No
243,66,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
244,51,Male,Master Degree,Management,31-40,Married,Yes,3-4,Yes
245,40,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
246,41,Male,Master Degree,Management,11-20,Married,No,3-4,No
247,28,Male,Master Degree,Management,0-5,Unmarried,Yes,1-2,No
248,40,Female,Bachelor degree ,Humanities,21-30,Unmarried,Yes,3-4,No
249,52,Male,Ph.D,Science and Technology,31-40,Married,Yes,1-2,Yes
250,29,Male,Master Degree,Management,6-10,Unmarried,Yes,3-4,No
251,24,Male,Bachelor degree ,Management,0-5,Unmarried,Yes,1-2,No
252,34,Female,Ph.D,Management,11-20,Married,Yes,1-2,No
253,49,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
254,40,Male,Ph.D,Humanities,11-20,Married,No,1-2,No
255,48,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
256,40,Male,Master Degree,Management,11-20,Married,Yes,3-4,No
257,30,Male,Master Degree,Humanities,11-20,Married,No,3-4,No
258,39,Male,Master Degree,Science and Technology,6-10,Married,Yes,1-2,No
259,53,Male,Bachelor degree ,Management,31-40,Married,Yes,1-2,No
260,45,Male,Ph.D,Management,11-20,Married,Yes,1-2,Yes
261,75,Female,Ph.D,Nursing,31-40,Married,Yes,1-2,No
262,57,Male,Ph.D,Science and Technology,31-40,Married,Yes,1-2,No
263,58,Male,Ph.D,Humanities,21-30,Married,Yes,1-2,No
264,58,Male,Master Degree,Humanities,21-30,Married,Yes,1-2,No
265,53,Female,Master Degree,Nursing,21-30,Married,Yes,5-6,Yes
266,33,Male,Ph.D,Management,6-10,Married,No,3-4,Yes
267,44,Female,Bachelor degree ,Humanities,0-5,Married,No,1-2,No
268,36,Female,Master Degree,Nursing,11-20,Married,No,1-2,No
269,75,Male,Bachelor degree ,Management,31-40,Married,No,1-2,No
270,33,Male,Master Degree,Humanities,6-10,Unmarried,Yes,3-4,No
271,44,Male,Ph.D,Humanities,11-20,Married,Yes,3-4,No
272,33,Male,Master Degree,Humanities,11-20,Married,No,1-2,No
273,62,Female,Ph.D,Management,31-40,Married,No,1-2,No
274,64,Male,Master Degree,Management,31-40,Married,Yes,1-2,No
275,51,Female,Bachelor degree ,Nursing,21-30,Married,No,1-2,No
276,21,Male,Master Degree,Science and Technology,0-5,Unmarried,Yes,1-2,No
277,49,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
278,60,Male,Ph.D,Management,31-40,Married,Yes,1-2,Yes
279,27,Male,Bachelor degree ,Nursing,0-5,Unmarried,No,3-4,No
280,71,Male,Ph.D,Humanities,31-40,Married,Yes,1-2,Yes
281,51,Male,Ph.D,Engineering,31-40,Married,Yes,1-2,No
282,37,Male,Bachelor degree ,Humanities,0-5,Married,No,3-4,No
283,53,Male,Master Degree,Engineering,21-30,Married,Yes,1-2,No
284,36,Female,Ph.D,Engineering,11-20,Married,Yes,1-2,Yes
285,53,Male,Master Degree,Engineering,21-30,Married,Yes,1-2,No
286,30,Male,Master Degree,Engineering,0-5,Unmarried,No,1-2,No
287,73,Male,Master Degree,Science and Technology,31-40,Married,Yes,1-2,No
288,59,Male,Master Degree,Management,31-40,Married,Yes,1-2,No
289,49,Male,Master Degree,Nursing,21-30,Married,No,3-4,No
290,32,Male,Master Degree,Management,6-10,Married,No,3-4,No
291,66,Male,Master Degree,Humanities,31-40,Unmarried,No,5-6,No
292,27,Male,Bachelor degree ,Management,0-5,Unmarried,Yes,1-2,No
293,36,Male,Master Degree,Management,11-20,Married,No,3-4,No
294,54,Male,Ph.D,Engineering,31-40,Married,No,3-4,No
295,67,Female,Ph.D,Management,21-30,Married,No,1-2,No
296,54,Male,Ph.D,Nursing,21-30,Unmarried,Yes,1-2,Yes
297,48,Female,Ph.D,Management,21-30,Married,Yes,3-4,Yes
298,38,Female,Master Degree,Humanities,11-20,Married,Yes,1-2,Yes
299,65,Male,Ph.D,Humanities,31-40,Married,No,1-2,No
300,51,Male,Bachelor degree ,Management,31-40,Married,Yes,3-4,No
301,40,Male,Master Degree,Management,6-10,Unmarried,Yes,3-4,No
302,50,Male,Ph.D,Science and Technology,21-30,Unmarried,Yes,3-4,No
303,44,Male,Master Degree,Management,11-20,Married,Yes,3-4,Yes
304,59,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
305,35,Male,Ph.D,Engineering,11-20,Married,No,1-2,Yes
306,37,Male,Master Degree,Humanities,11-20,Married,Yes,3-4,No
307,53,Male,M.Phil,Humanities,21-30,Married,No,1-2,No
308,60,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
309,47,Male,Ph.D,Management,11-20,Married,No,1-2,No
310,44,Male,Ph.D,Science and Technology,11-20,Married,Yes,1-2,No
311,21,Male,Master Degree,Humanities,0-5,Unmarried,No,1-2,No
312,57,Female,Ph.D,Humanities,21-30,Married,Yes,1-2,No
313,47,Male,Ph.D,Management,11-20,Married,Yes,1-2,No
314,39,Male,Ph.D,Science and Technology,0-5,Married,No,1-2,No
315,53,Male,Master Degree,Humanities,21-30,Married,Yes,1-2,No
316,60,Male,Master Degree,Engineering,31-40,Married,Yes,1-2,No
317,60,Male,Ph.D,Science and Technology,31-40,Married,No,1-2,No
318,32,Male,Master Degree,Humanities,11-20,Unmarried,Yes,3-4,No
319,50,Male,Ph.D,Humanities,31-40,Married,No,1-2,No
320,43,Female,Ph.D,Science and Technology,11-20,Married,Yes,1-2,No
321,67,Male,Bachelor degree ,Humanities,31-40,Unmarried,Yes,3-4,Yes
322,30,Male,Ph.D,Management,11-20,Married,Yes,3-4,No
323,55,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
324,37,Male,Master Degree,Humanities,11-20,Married,Yes,3-4,No
325,46,Male,Master Degree,Management,21-30,Married,Yes,3-4,No
326,59,Male,Ph.D,Humanities,31-40,Married,No,1-2,No
327,53,Male,Ph.D,Humanities,21-30,Married,Yes,3-4,No
328,56,Female,Master Degree,Humanities,11-20,Unmarried,Yes,1-2,Yes
329,64,Male,Master Degree,Management,31-40,Married,No,1-2,No
330,27,Male,Bachelor degree ,Humanities,0-5,Unmarried,No,5-6,No
331,41,Male,M.Phil,Management,11-20,Married,Yes,1-2,No
332,40,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
333,64,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,No
334,27,Male,Master Degree,Humanities,0-5,Unmarried,No,3-4,No
335,71,Male,Bachelor degree ,Science and Technology,11-20,Unmarried,Yes,1-2,Yes
336,59,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
337,34,Female,Ph.D,Nursing,11-20,Married,Yes,1-2,No
338,36,Male,Master Degree,Management,6-10,Unmarried,Yes,7  or above,No
339,54,Female,Master Degree,Management,31-40,Married,Yes,1-2,No
340,58,Female,Master Degree,Humanities,11-20,Unmarried,No,1-2,Yes
341,30,Male,Master Degree,Science and Technology,6-10,Married,Yes,3-4,No
342,32,Male,Master Degree,Science and Technology,6-10,Married,Yes,1-2,No
343,46,Female,Ph.D,Nursing,11-20,Unmarried,Yes,1-2,No
344,71,Male,Ph.D,Science and Technology,31-40,Married,Yes,3-4,No
345,55,Female,Ph.D,Nursing,31-40,Unmarried,Yes,1-2,No
346,23,Male,Master Degree,Management,6-10,Unmarried,Yes,1-2,No
347,57,Male,Master Degree,Management,21-30,Married,Yes,1-2,Yes
348,64,Male,Ph.D,Nursing,31-40,Married,Yes,1-2,No
349,50,Male,Ph.D,Engineering,21-30,Married,Yes,1-2,No
350,23,Female,Master Degree,Nursing,0-5,Unmarried,No,1-2,No
351,40,Male,Master Degree,Nursing,11-20,Married,Yes,5-6,Yes
352,38,Male,Master Degree,Nursing,11-20,Married,No,5-6,No
353,33,Female,Master Degree,Humanities,11-20,Married,No,3-4,No
354,42,Female,Master Degree,Management,21-30,Married,Yes,1-2,Yes
355,36,Female,Master Degree,Nursing,11-20,Married,Yes,1-2,No
356,50,Female,Master Degree,Management,11-20,Married,Yes,1-2,No
357,56,Male,Master Degree,Science and Technology,31-40,Married,Yes,3-4,No
358,72,Male,Bachelor degree ,Humanities,31-40,Married,Yes,1-2,No
359,55,Female,Bachelor degree ,Humanities,31-40,Married,Yes,1-2,No
360,49,Male,Master Degree,Management,11-20,Married,Yes,7  or above,No
361,70,Male,Bachelor degree ,Science and Technology,31-40,Married,Yes,5-6,No
362,27,Male,Master Degree,Management,0-5,Unmarried,Yes,1-2,No
363,29,Male,Bachelor degree ,Management,0-5,Unmarried,Yes,7  or above,No
364,47,Male,Master Degree,Engineering,0-5,Unmarried,No,3-4,No
365,41,Female,Master Degree,Humanities,11-20,Married,Yes,1-2,No
366,71,Male,Master Degree,Management,31-40,Married,Yes,1-2,No
367,36,Female,Ph.D,Management,11-20,Married,No,5-6,Yes
368,48,Female,Ph.D,Management,21-30,Married,Yes,1-2,Yes
369,52,Female,Master Degree,Management,31-40,Married,Yes,1-2,No
370,42,Male,Ph.D,Humanities,21-30,Married,Yes,7  or above,No
371,49,Female,Master Degree,Humanities,11-20,Unmarried,Yes,3-4,No
372,53,Female,Master Degree,Nursing,31-40,Married,No,3-4,Yes
373,42,Male,Master Degree,Management,11-20,Married,No,1-2,Yes
374,33,Male,Master Degree,Management,6-10,Married,No,1-2,No
375,29,Male,Bachelor degree ,Science and Technology,6-10,Unmarried,Yes,1-2,No
376,40,Male,Master Degree,Humanities,11-20,Married,No,1-2,No
377,32,Male,Ph.D,Management,6-10,Married,Yes,1-2,Yes
378,57,Male,Ph.D,Science and Technology,21-30,Married,Yes,5-6,No
379,26,Male,Bachelor degree ,Management,6-10,Unmarried,Yes,1-2,No
380,59,Male,Master Degree,Humanities,21-30,Married,No,1-2,Yes
381,52,Male,Master Degree,Humanities,21-30,Married,No,1-2,Yes
382,47,Male,Master Degree,Management,11-20,Married,Yes,3-4,No
383,30,Female,Bachelor degree ,Management,0-5,Unmarried,No,7  or above,No
384,29,Male,Bachelor degree ,Management,0-5,Unmarried,No,7  or above,No
385,55,Male,Ph.D,Management,21-30,Married,Yes,1-2,Yes
386,46,Female,Ph.D,Management,11-20,Married,Yes,1-2,Yes
387,40,Male,Master Degree,Engineering,11-20,Married,No,1-2,No
388,24,Male,Bachelor degree ,Engineering,6-10,Married,Yes,3-4,No
389,49,Male,Master Degree,Management,21-30,Married,Yes,1-2,No
