Age,Gender,Education,Faculty,Maritalstatus,Religion,Ethnicity,Ethnicity_1,Employment,Livingwithfamily,Family_Income,fall_sick,Use_medicine
21,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,150000,Yes,Yes
26,Female,PCL/ +2,Nursing,Married,Buddhist ,Janajati,Janajati,Yes,Yes,50000,Yes,Yes
18,Male,Bachelor,Management,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,8000,Yes,Yes
24,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
18,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,No,No
18,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,10000,Yes,Yes
18,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,10000,Yes,Yes
20,Male,Bachelor,Management,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,40000,Yes,Yes
18,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
25,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
20,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,Yes,Yes
20,Male,Bachelor,Management,Unmarried,Muslim,Madhesi,Other,No,No,35000,Yes,Yes
21,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,No,No
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,35000,Yes,Yes
17,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
21,Female,Bachelor,Education,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,20000,Yes,Yes
19,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,Yes,Yes,30000,Yes,No
19,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,25000,Yes,No
20,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,90000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
22,Female,Bachelor,Education,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,100000,Yes,Yes
20,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
21,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,"30,000",Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,50000,Yes,Yes
25,Male,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
23,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
21,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,40000,No,No
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,No,No
25,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,8000,No,No
21,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,30000,Yes,Yes
31,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,60000,Yes,Yes
20,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,70000,Yes,Yes
18,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,40000,Yes,Yes
23,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,70000,Yes,Yes
23,Female,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,30000,Yes,Yes
21,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,Yes,No,24000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"100,000",Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,45000,Yes,Yes
23,Female,Bachelor,Science,Unmarried,Hindu,Janajati,Janajati,No,No,"50,000",Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
24,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,"50,000",Yes,Yes
21,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
22,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
22,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,100000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,25000,Yes,No
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Dalit,Other,No,Yes,10000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"30,000",Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,"50,000",Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,No,40000,Yes,Yes
18,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Janajati,Janajati,No,No,40000,Yes,Yes
25,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
23,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,No,40000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,60000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
21,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,"50,000",Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Madhesi,Other,No,No,35000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,100000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,100000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,25000,Yes,Yes
22,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,10000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,20000,Yes,No
21,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,300000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,No
22,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,100000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,35000,Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"90,000",Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,55000,Yes,Yes
20,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,25000,Yes,Yes
21,Female,PCL/ +2,Nursing,Unmarried,Hindu,Janajati,Janajati,No,Yes,30000,Yes,Yes
21,Male,PCL/ +2,Nursing,Unmarried,Hindu,Madhesi,Other,No,No,30000,Yes,Yes
33,Male,Bachelor,Education,Married,Buddhist ,Janajati,Janajati,Yes,Yes,40000,No,No
20,Female,PCL/ +2,Nursing,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
33,Male,Bachelor,Education,Married,Buddhist ,Janajati,Janajati,Yes,Yes,40000,Yes,No
25,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
23,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,200000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,28000,No,No
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,70000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,No
25,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,18000,No,No
21,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,30000,Yes,Yes
31,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,60000,Yes,Yes
20,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,60000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
22,Female,Bachelor,Education,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,50000,Yes,Yes
20,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
21,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,"30,000",Yes,Yes
26,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,50000,Yes,Yes
20,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
22,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,40000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,70000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
21,Male,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,55000,No,No
21,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,60000,Yes,Yes
21,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,No
25,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,19000,No,No
21,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,30000,Yes,Yes
31,Male,Bachelor,Science,Married,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,Yes,Yes,60000,Yes,Yes
20,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,200000,Yes,Yes
17,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
20,Male,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,30000,No,No
19,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,200000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,200000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
22,Female,Bachelor,Education,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,100000,Yes,Yes
20,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,100000,Yes,Yes
21,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,"30,000",Yes,Yes
19,Female,PCL/ +2,Nursing,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,50000,Yes,Yes
24,Male,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
23,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,"50,000",Yes,Yes
21,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,20000,No,No
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,90000,Yes,Yes
18,Male,Bachelor,Management,Unmarried,Hindu,Dalit,Other,No,Yes,"50,000",Yes,Yes
20,Male,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,70000,Yes,Yes
25,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
23,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,200000,Yes,Yes
18,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,19000,No,No
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,200000,Yes,Yes
24,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
19,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
33,Male,Bachelor,Education,Married,Buddhist ,Janajati,Janajati,Yes,Yes,40000,Yes,No
24,Male,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
24,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
20,Female,Bachelor,Management,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,90000,Yes,Yes
19,Female,Bachelor,Management,Unmarried,Buddhist ,Tamang ,Janajati,No,Yes,100000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,80000,No,No
23,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,Yes
21,Female,Bachelor,Education,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,20000,Yes,Yes
19,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,Yes,Yes,30000,Yes,No
19,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,15000,Yes,No
20,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,50000,Yes,Yes
22,Female,Bachelor,Education,Unmarried,Hindu,Madhesi,Janajati,Yes,Yes,20000,Yes,No
24,Male,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,Yes,No,30000,Yes,Yes
19,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,22000,Yes,Yes
20,Female,Bachelor,Education,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,55000,Yes,Yes
23,Female,Bachelor,Science,Unmarried,Hindu,Janajati,Janajati,No,No,"50,000",Yes,Yes
19,Male,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,No,15000,No,No
21,Female,Bachelor,Science,Unmarried,Buddhist ,Janajati,Janajati,No,Yes,30000,No,No
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,200000,Yes,Yes
21,Female,Bachelor,Science,Unmarried,Hindu,Brahmin/Chhetri,Brahmin/Chhetri,No,Yes,50000,Yes,No
25,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
23,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
33,Male,Bachelor,Education,Married,Buddhist ,Janajati,Janajati,Yes,Yes,40000,Yes,No
24,Male,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
24,Female,Bachelor,Education,Unmarried,Hindu,Janajati,Janajati,No,Yes,15000,Yes,Yes
